Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
2020-01-07,11:00:00,No data,,9.9,V ugm-3 (TEOM FDMS),24.6,V ugm-3 (TEOM FDMS),11.9,V ugm-3 (TEOM FDMS),,,7.2,V ugm-3 (TEOM FDMS),18.378,V ugm-3 (FIDAS),11.354,V ugm-3 (Ref.eq),,,20.825,V ugm-3 (FIDAS),11.627,V ugm-3 (Ref.eq),0.432983,V mgm-3,25.2,V ugm-3 (TEOM FDMS),12.4,V ugm-3 (TEOM FDMS),0.104933,V mgm-3,20.925,V ugm-3 (FIDAS),11.91,V ugm-3 (Ref.eq),20.225,V ugm-3 (FIDAS),12.005,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
2020-01-07,12:00:00,No data,,12.2,V ugm-3 (TEOM FDMS),21.9,V ugm-3 (TEOM FDMS),13.5,V ugm-3 (TEOM FDMS),,,8.2,V ugm-3 (TEOM FDMS),16.913,V ugm-3 (FIDAS),11.21,V ugm-3 (Ref.eq),,,20.575,V ugm-3 (FIDAS),11.84,V ugm-3 (Ref.eq),0.43857,V mgm-3,27.1,V ugm-3 (TEOM FDMS),13.9,V ugm-3 (TEOM FDMS),0.084529,V mgm-3,20.425,V ugm-3 (FIDAS),12.241,V ugm-3 (Ref.eq),19.975,V ugm-3 (FIDAS),12.217,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
2020-01-07,13:00:00,No data,,14.4,V ugm-3 (TEOM FDMS),21.5,V ugm-3 (TEOM FDMS),13.6,V ugm-3 (TEOM FDMS),,,10,V ugm-3 (TEOM FDMS),17.498,V ugm-3 (FIDAS),11.906,V ugm-3 (Ref.eq),,,20.15,V ugm-3 (FIDAS),12.382,V ugm-3 (Ref.eq),0.393874,V mgm-3,24.5,V ugm-3 (TEOM FDMS),13.2,V ugm-3 (TEOM FDMS),0.075785,V mgm-3,19.2,V ugm-3 (FIDAS),11.793,V ugm-3 (Ref.eq),18.725,V ugm-3 (FIDAS),11.439,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
2020-01-07,14:00:00,No data,,10.6,V ugm-3 (TEOM FDMS),20.7,V ugm-3 (TEOM FDMS),10.8,V ugm-3 (TEOM FDMS),,,7.2,V ugm-3 (TEOM FDMS),16.01,V ugm-3 (FIDAS),10.941,V ugm-3 (Ref.eq),,,19.525,V ugm-3 (FIDAS),11.392,V ugm-3 (Ref.eq),0.382702,V mgm-3,28.8,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),0.0787,V mgm-3,18.2,V ugm-3 (FIDAS),11.297,V ugm-3 (Ref.eq),17.875,V ugm-3 (FIDAS),11.014,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-07,15:00:00,No data,,7.6,V ugm-3 (TEOM FDMS),22.7,V ugm-3 (TEOM FDMS),11.2,V ugm-3 (TEOM FDMS),,,9.3,V ugm-3 (TEOM FDMS),14.183,V ugm-3 (FIDAS),10.038,V ugm-3 (Ref.eq),,,17.125,V ugm-3 (FIDAS),10.991,V ugm-3 (Ref.eq),0.360354,V mgm-3,22.2,V ugm-3 (TEOM FDMS),11.8,V ugm-3 (TEOM FDMS),0.099103,V mgm-3,13.775,V ugm-3 (FIDAS),8.821,V ugm-3 (Ref.eq),14.125,V ugm-3 (FIDAS),9.104,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2020-01-07,16:00:00,No data,,6.4,V ugm-3 (TEOM FDMS),13.6,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),,,4.2,V ugm-3 (TEOM FDMS),6.203,V ugm-3 (FIDAS),4.155,V ugm-3 (Ref.eq),,,10.55,V ugm-3 (FIDAS),6.816,V ugm-3 (Ref.eq),0.329626,V mgm-3,15.3,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),0.116592,V mgm-3,7.85,V ugm-3 (FIDAS),4.741,V ugm-3 (Ref.eq),6.925,V ugm-3 (FIDAS),5.283,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-07,17:00:00,No data,,5.9,V ugm-3 (TEOM FDMS),10.2,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),,,1.9,V ugm-3 (TEOM FDMS),3.252,V ugm-3 (FIDAS),2.141,V ugm-3 (Ref.eq),,,6.2,V ugm-3 (FIDAS),5.071,V ugm-3 (Ref.eq),0.371528,V mgm-3,8.8,V ugm-3 (TEOM FDMS),8.3,V ugm-3 (TEOM FDMS),0.14574,V mgm-3,4.975,V ugm-3 (FIDAS),3.467,V ugm-3 (Ref.eq),2.95,V ugm-3 (FIDAS),1.84,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-01-07,18:00:00,No data,,7.3,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),,,2.6,V ugm-3 (TEOM FDMS),2.651,V ugm-3 (FIDAS),2.159,V ugm-3 (Ref.eq),,,4.6,V ugm-3 (FIDAS),3.821,V ugm-3 (Ref.eq),0.335213,V mgm-3,9,V ugm-3 (TEOM FDMS),6.3,V ugm-3 (TEOM FDMS),0.128251,V mgm-3,2.75,V ugm-3 (FIDAS),1.722,V ugm-3 (Ref.eq),2.025,V ugm-3 (FIDAS),1.321,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-01-07,19:00:00,No data,,4.3,V ugm-3 (TEOM FDMS),6.2,V ugm-3 (TEOM FDMS),3.5,V ugm-3 (TEOM FDMS),,,0.9,V ugm-3 (TEOM FDMS),3.107,V ugm-3 (FIDAS),2.638,V ugm-3 (Ref.eq),,,2.75,V ugm-3 (FIDAS),2.217,V ugm-3 (Ref.eq),0.287724,V mgm-3,7.1,V ugm-3 (TEOM FDMS),1.2,V ugm-3 (TEOM FDMS),0.119506,V mgm-3,2.375,V ugm-3 (FIDAS),1.769,V ugm-3 (Ref.eq),1.425,V ugm-3 (FIDAS),1.085,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-01-07,20:00:00,No data,,4.7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),1.4,V ugm-3 (TEOM FDMS),,,-0.4,V ugm-3 (TEOM FDMS),2.267,V ugm-3 (FIDAS),1.567,V ugm-3 (Ref.eq),,,2.075,V ugm-3 (FIDAS),1.486,V ugm-3 (Ref.eq),0.226268,V mgm-3,9.4,V ugm-3 (TEOM FDMS),4.9,V ugm-3 (TEOM FDMS),0.122421,V mgm-3,2.3,V ugm-3 (FIDAS),1.958,V ugm-3 (Ref.eq),2.05,V ugm-3 (FIDAS),1.321,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
2020-01-07,21:00:00,No data,,5.2,V ugm-3 (TEOM FDMS),10.2,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),,,-1,V ugm-3 (TEOM FDMS),2.348,V ugm-3 (FIDAS),1.826,V ugm-3 (Ref.eq),,,2.15,V ugm-3 (FIDAS),1.58,V ugm-3 (Ref.eq),0.237442,V mgm-3,15.2,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),0.113677,V mgm-3,3.5,V ugm-3 (FIDAS),2.854,V ugm-3 (Ref.eq),2.85,V ugm-3 (FIDAS),2.005,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-07,22:00:00,No data,,4.2,V ugm-3 (TEOM FDMS),7.7,V ugm-3 (TEOM FDMS),5.8,V ugm-3 (TEOM FDMS),,,4.7,V ugm-3 (TEOM FDMS),2.106,V ugm-3 (FIDAS),1.596,V ugm-3 (Ref.eq),,,1.4,V ugm-3 (FIDAS),1.156,V ugm-3 (Ref.eq),0.173193,V mgm-3,9.7,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),0.104933,V mgm-3,3.1,V ugm-3 (FIDAS),2.429,V ugm-3 (Ref.eq),2.075,V ugm-3 (FIDAS),1.533,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-07,23:00:00,No data,,2.4,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),1.2,V ugm-3 (TEOM FDMS),,,4.6,V ugm-3 (TEOM FDMS),1.601,V ugm-3 (FIDAS),1.289,V ugm-3 (Ref.eq),,,1.4,V ugm-3 (FIDAS),0.943,V ugm-3 (Ref.eq),0.103358,V mgm-3,4.9,V ugm-3 (TEOM FDMS),1.5,V ugm-3 (TEOM FDMS),0.102018,V mgm-3,2.85,V ugm-3 (FIDAS),2.123,V ugm-3 (Ref.eq),2.225,V ugm-3 (FIDAS),1.392,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-01-07,24:00:00,No data,,2.5,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),,,3.3,V ugm-3 (TEOM FDMS),1.642,V ugm-3 (FIDAS),1.174,V ugm-3 (Ref.eq),,,1.475,V ugm-3 (FIDAS),1.085,V ugm-3 (Ref.eq),0.069836,V mgm-3,9.3,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),0.099103,V mgm-3,2.45,V ugm-3 (FIDAS),1.675,V ugm-3 (Ref.eq),1.95,V ugm-3 (FIDAS),1.415,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-01-08,01:00:00,No data,,0.9,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),2.4,V ugm-3 (TEOM FDMS),,,1.2,V ugm-3 (TEOM FDMS),1.319,V ugm-3 (FIDAS),0.913,V ugm-3 (Ref.eq),,,1.875,V ugm-3 (FIDAS),1.344,V ugm-3 (Ref.eq),No data,V mgm-3,4.9,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),0.089413,V mgm-3,2.1,V ugm-3 (FIDAS),1.462,V ugm-3 (Ref.eq),2.15,V ugm-3 (FIDAS),1.486,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-01-08,02:00:00,No data,,5.2,V ugm-3 (TEOM FDMS),3.4,V ugm-3 (TEOM FDMS),1.6,V ugm-3 (TEOM FDMS),,,1.7,V ugm-3 (TEOM FDMS),1.125,V ugm-3 (FIDAS),0.755,V ugm-3 (Ref.eq),,,1.95,V ugm-3 (FIDAS),1.392,V ugm-3 (Ref.eq),0.089144,V mgm-3,4.1,V ugm-3 (TEOM FDMS),0,V ugm-3 (TEOM FDMS),0.073864,V mgm-3,1.6,V ugm-3 (FIDAS),1.132,V ugm-3 (Ref.eq),1.7,V ugm-3 (FIDAS),1.061,V ugm-3 (Ref.eq),0,V ugm-3 (BAM)
2020-01-08,03:00:00,No data,,4.8,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),0.2,V ugm-3 (TEOM FDMS),,,1.2,V ugm-3 (TEOM FDMS),1.561,V ugm-3 (FIDAS),1.002,V ugm-3 (Ref.eq),,,2.575,V ugm-3 (FIDAS),1.792,V ugm-3 (Ref.eq),0.086359,V mgm-3,2.3,V ugm-3 (TEOM FDMS),1.4,V ugm-3 (TEOM FDMS),0.075807,V mgm-3,1.8,V ugm-3 (FIDAS),1.085,V ugm-3 (Ref.eq),1.65,V ugm-3 (FIDAS),1.085,V ugm-3 (Ref.eq),2,V ugm-3 (BAM)
2020-01-08,04:00:00,No data,,3.8,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),3.5,V ugm-3 (TEOM FDMS),,,5.4,V ugm-3 (TEOM FDMS),1.815,V ugm-3 (FIDAS),1.16,V ugm-3 (Ref.eq),,,2.1,V ugm-3 (FIDAS),1.462,V ugm-3 (Ref.eq),0.075215,V mgm-3,6.1,V ugm-3 (TEOM FDMS),3.1,V ugm-3 (TEOM FDMS),0.078723,V mgm-3,2.275,V ugm-3 (FIDAS),1.25,V ugm-3 (Ref.eq),2.05,V ugm-3 (FIDAS),1.226,V ugm-3 (Ref.eq),2,V ugm-3 (BAM)
2020-01-08,05:00:00,No data,,3.7,V ugm-3 (TEOM FDMS),1.1,V ugm-3 (TEOM FDMS),-3,V ugm-3 (TEOM FDMS),,,2.9,V ugm-3 (TEOM FDMS),1.662,V ugm-3 (FIDAS),0.966,V ugm-3 (Ref.eq),,,1.725,V ugm-3 (FIDAS),1.156,V ugm-3 (Ref.eq),0.078001,V mgm-3,0.6,V ugm-3 (TEOM FDMS),-2.2,V ugm-3 (TEOM FDMS),0.084554,V mgm-3,1.7,V ugm-3 (FIDAS),1.132,V ugm-3 (Ref.eq),1.7,V ugm-3 (FIDAS),0.943,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-01-08,06:00:00,No data,,6.4,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),,,5.2,V ugm-3 (TEOM FDMS),2.187,V ugm-3 (FIDAS),1.482,V ugm-3 (Ref.eq),,,3.25,V ugm-3 (FIDAS),2.429,V ugm-3 (Ref.eq),0.119788,V mgm-3,5.6,V ugm-3 (TEOM FDMS),1.4,V ugm-3 (TEOM FDMS),0.090385,V mgm-3,1.975,V ugm-3 (FIDAS),1.226,V ugm-3 (Ref.eq),1.725,V ugm-3 (FIDAS),0.991,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-01-08,07:00:00,No data,,4.2,V ugm-3 (TEOM FDMS),2.7,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),,,2.8,V ugm-3 (TEOM FDMS),7.87,V ugm-3 (FIDAS),4.563,V ugm-3 (Ref.eq),,,3.4,V ugm-3 (FIDAS),2.052,V ugm-3 (Ref.eq),0.261862,V mgm-3,6.4,V ugm-3 (TEOM FDMS),1.1,V ugm-3 (TEOM FDMS),0.104963,V mgm-3,5.825,V ugm-3 (FIDAS),3.325,V ugm-3 (Ref.eq),5.1,V ugm-3 (FIDAS),2.925,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2020-01-08,08:00:00,No data,,4,V ugm-3 (TEOM FDMS),11.7,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),,,3.9,V ugm-3 (TEOM FDMS),12.833,V ugm-3 (FIDAS),7.484,V ugm-3 (Ref.eq),,,6.2,V ugm-3 (FIDAS),3.656,V ugm-3 (Ref.eq),0.487509,V mgm-3,17.8,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),0.116626,V mgm-3,14.325,V ugm-3 (FIDAS),7.712,V ugm-3 (Ref.eq),11.8,V ugm-3 (FIDAS),6.651,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-08,09:00:00,No data,,8.6,V ugm-3 (TEOM FDMS),19.4,V ugm-3 (TEOM FDMS),8.3,V ugm-3 (TEOM FDMS),,,5.3,V ugm-3 (TEOM FDMS),18.25,V ugm-3 (FIDAS),10.568,V ugm-3 (Ref.eq),,,15.075,V ugm-3 (FIDAS),8.255,V ugm-3 (Ref.eq),0.537652,V mgm-3,27.9,V ugm-3 (TEOM FDMS),11.6,V ugm-3 (TEOM FDMS),0.131204,V mgm-3,22.075,V ugm-3 (FIDAS),11.84,V ugm-3 (Ref.eq),19.825,V ugm-3 (FIDAS),10.472,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-08,10:00:00,No data,,6.6,V ugm-3 (TEOM FDMS),22.6,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),,,7.4,V ugm-3 (TEOM FDMS),20.248,V ugm-3 (FIDAS),11.651,V ugm-3 (Ref.eq),,,20.975,V ugm-3 (FIDAS),10.778,V ugm-3 (Ref.eq),0.495867,V mgm-3,30.4,V ugm-3 (TEOM FDMS),14.4,V ugm-3 (TEOM FDMS),0.099133,V mgm-3,26.15,V ugm-3 (FIDAS),13.632,V ugm-3 (Ref.eq),19.9,V ugm-3 (FIDAS),11.344,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2020-01-08,11:00:00,No data,,10.4,V ugm-3 (TEOM FDMS),22.8,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),,,11.2,V ugm-3 (TEOM FDMS),22.333,V ugm-3 (FIDAS),13.201,V ugm-3 (Ref.eq),,,22.55,V ugm-3 (FIDAS),11.91,V ugm-3 (Ref.eq),0.412293,V mgm-3,28.5,V ugm-3 (TEOM FDMS),14.9,V ugm-3 (TEOM FDMS),0.096216,V mgm-3,28.3,V ugm-3 (FIDAS),15.071,V ugm-3 (Ref.eq),23.15,V ugm-3 (FIDAS),12.311,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
2020-01-08,12:00:00,No data,,11.7,V ugm-3 (TEOM FDMS),28.9,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),,,11,V ugm-3 (TEOM FDMS),24.14,V ugm-3 (FIDAS),14.175,V ugm-3 (Ref.eq),,,26.45,V ugm-3 (FIDAS),14.245,V ugm-3 (Ref.eq),0.364007,V mgm-3,37.9,V ugm-3 (TEOM FDMS),16.6,V ugm-3 (TEOM FDMS),0.084554,V mgm-3,30.675,V ugm-3 (FIDAS),16.25,V ugm-3 (Ref.eq),26.5,V ugm-3 (FIDAS),14.906,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
2020-01-08,13:00:00,No data,,12,V ugm-3 (TEOM FDMS),27.4,V ugm-3 (TEOM FDMS),14.8,V ugm-3 (TEOM FDMS),,,11.5,V ugm-3 (TEOM FDMS),24.763,V ugm-3 (FIDAS),14.818,V ugm-3 (Ref.eq),,,28.175,V ugm-3 (FIDAS),15.33,V ugm-3 (Ref.eq),No data,V mgm-3,32.1,V ugm-3 (TEOM FDMS),14.4,V ugm-3 (TEOM FDMS),0.08747,V mgm-3,31.375,V ugm-3 (FIDAS),17.193,V ugm-3 (Ref.eq),26.925,V ugm-3 (FIDAS),15.354,V ugm-3 (Ref.eq),21,V ugm-3 (BAM)
2020-01-08,14:00:00,No data,,14.2,V ugm-3 (TEOM FDMS),30.2,V ugm-3 (TEOM FDMS),17.2,V ugm-3 (TEOM FDMS),,,10.6,V ugm-3 (TEOM FDMS),26.18,V ugm-3 (FIDAS),15.484,V ugm-3 (Ref.eq),,,32.275,V ugm-3 (FIDAS),17.359,V ugm-3 (Ref.eq),0.404865,V mgm-3,37,V ugm-3 (TEOM FDMS),20.6,V ugm-3 (TEOM FDMS),0.104963,V mgm-3,31.475,V ugm-3 (FIDAS),17.5,V ugm-3 (Ref.eq),27.15,V ugm-3 (FIDAS),15.755,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
2020-01-08,15:00:00,No data,,15.5,V ugm-3 (TEOM FDMS),30.6,V ugm-3 (TEOM FDMS),18.5,V ugm-3 (TEOM FDMS),,,14,V ugm-3 (TEOM FDMS),27.908,V ugm-3 (FIDAS),15.708,V ugm-3 (Ref.eq),,,30.1,V ugm-3 (FIDAS),16.392,V ugm-3 (Ref.eq),0.426222,V mgm-3,35.7,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),0.107879,V mgm-3,32.25,V ugm-3 (FIDAS),17.76,V ugm-3 (Ref.eq),26.725,V ugm-3 (FIDAS),15.943,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
2020-01-08,16:00:00,No data,,16.2,V ugm-3 (TEOM FDMS),29.6,V ugm-3 (TEOM FDMS),16.7,V ugm-3 (TEOM FDMS),,,15.7,V ugm-3 (TEOM FDMS),28.31,V ugm-3 (FIDAS),15.783,V ugm-3 (Ref.eq),,,29.475,V ugm-3 (FIDAS),17.547,V ugm-3 (Ref.eq),0.554368,V mgm-3,36.9,V ugm-3 (TEOM FDMS),19.6,V ugm-3 (TEOM FDMS),0.119542,V mgm-3,31.45,V ugm-3 (FIDAS),17.335,V ugm-3 (Ref.eq),26.3,V ugm-3 (FIDAS),15.684,V ugm-3 (Ref.eq),20,V ugm-3 (BAM)
2020-01-08,17:00:00,No data,,15.7,V ugm-3 (TEOM FDMS),26.6,V ugm-3 (TEOM FDMS),13.5,V ugm-3 (TEOM FDMS),,,11.7,V ugm-3 (TEOM FDMS),27.445,V ugm-3 (FIDAS),15.816,V ugm-3 (Ref.eq),,,30.5,V ugm-3 (FIDAS),17.241,V ugm-3 (Ref.eq),0.615653,V mgm-3,39.2,V ugm-3 (TEOM FDMS),22.1,V ugm-3 (TEOM FDMS),0.166192,V mgm-3,30.375,V ugm-3 (FIDAS),17.288,V ugm-3 (Ref.eq),30.325,V ugm-3 (FIDAS),19.835,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
2020-01-08,18:00:00,No data,,17.4,V ugm-3 (TEOM FDMS),28.4,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),,,11.4,V ugm-3 (TEOM FDMS),27.138,V ugm-3 (FIDAS),16.205,V ugm-3 (Ref.eq),,,26.6,V ugm-3 (FIDAS),16.816,V ugm-3 (Ref.eq),0.668584,V mgm-3,33.5,V ugm-3 (TEOM FDMS),18.3,V ugm-3 (TEOM FDMS),0.201181,V mgm-3,30.575,V ugm-3 (FIDAS),18.868,V ugm-3 (Ref.eq),31.7,V ugm-3 (FIDAS),22.76,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
2020-01-08,19:00:00,No data,,18.9,V ugm-3 (TEOM FDMS),29.6,V ugm-3 (TEOM FDMS),15.7,V ugm-3 (TEOM FDMS),,,13.7,V ugm-3 (TEOM FDMS),27.915,V ugm-3 (FIDAS),18.135,V ugm-3 (Ref.eq),,,27.3,V ugm-3 (FIDAS),18.208,V ugm-3 (Ref.eq),0.718727,V mgm-3,37.7,V ugm-3 (TEOM FDMS),22.1,V ugm-3 (TEOM FDMS),0.265325,V mgm-3,31.1,V ugm-3 (FIDAS),19.293,V ugm-3 (Ref.eq),27.425,V ugm-3 (FIDAS),18.632,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
2020-01-08,20:00:00,No data,,20.1,V ugm-3 (TEOM FDMS),29.4,V ugm-3 (TEOM FDMS),19.4,V ugm-3 (TEOM FDMS),,,12.4,V ugm-3 (TEOM FDMS),26.44,V ugm-3 (FIDAS),17.073,V ugm-3 (Ref.eq),,,26.65,V ugm-3 (FIDAS),18.231,V ugm-3 (Ref.eq),0.643512,V mgm-3,35.4,V ugm-3 (TEOM FDMS),20.4,V ugm-3 (TEOM FDMS),0.22159,V mgm-3,28.125,V ugm-3 (FIDAS),17.877,V ugm-3 (Ref.eq),25.125,V ugm-3 (FIDAS),17.524,V ugm-3 (Ref.eq),23,V ugm-3 (BAM)
2020-01-08,21:00:00,No data,,19.1,V ugm-3 (TEOM FDMS),30.9,V ugm-3 (TEOM FDMS),18.4,V ugm-3 (TEOM FDMS),,,16.1,V ugm-3 (TEOM FDMS),26.36,V ugm-3 (FIDAS),17.649,V ugm-3 (Ref.eq),,,28.15,V ugm-3 (FIDAS),19.741,V ugm-3 (Ref.eq),0.484723,V mgm-3,32,V ugm-3 (TEOM FDMS),18.8,V ugm-3 (TEOM FDMS),0.250747,V mgm-3,28.9,V ugm-3 (FIDAS),19.057,V ugm-3 (Ref.eq),29.575,V ugm-3 (FIDAS),21.392,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
2020-01-08,22:00:00,No data,,14.9,V ugm-3 (TEOM FDMS),32.1,V ugm-3 (TEOM FDMS),21.1,V ugm-3 (TEOM FDMS),,,15,V ugm-3 (TEOM FDMS),22.33,V ugm-3 (FIDAS),16.828,V ugm-3 (Ref.eq),,,22.975,V ugm-3 (FIDAS),16.604,V ugm-3 (Ref.eq),0.487509,V mgm-3,31.5,V ugm-3 (TEOM FDMS),18.6,V ugm-3 (TEOM FDMS),0.244915,V mgm-3,27.575,V ugm-3 (FIDAS),19.458,V ugm-3 (Ref.eq),22.05,V ugm-3 (FIDAS),16.745,V ugm-3 (Ref.eq),19,V ugm-3 (BAM)
2020-01-08,23:00:00,No data,,11.8,V ugm-3 (TEOM FDMS),22.2,V ugm-3 (TEOM FDMS),13.6,V ugm-3 (TEOM FDMS),,,10.7,V ugm-3 (TEOM FDMS),14.33,V ugm-3 (FIDAS),11.25,V ugm-3 (Ref.eq),,,12.6,V ugm-3 (FIDAS),9.34,V ugm-3 (Ref.eq),0.334292,V mgm-3,21.2,V ugm-3 (TEOM FDMS),11.8,V ugm-3 (TEOM FDMS),0.148699,V mgm-3,15.95,V ugm-3 (FIDAS),11.981,V ugm-3 (Ref.eq),13.325,V ugm-3 (FIDAS),10.071,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2020-01-08,24:00:00,No data,,8.2,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),,,3.5,V ugm-3 (TEOM FDMS),6.34,V ugm-3 (FIDAS),5.28,V ugm-3 (Ref.eq),,,4.8,V ugm-3 (FIDAS),3.939,V ugm-3 (Ref.eq),0.253505,V mgm-3,11.7,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),0.113711,V mgm-3,7.625,V ugm-3 (FIDAS),5.991,V ugm-3 (Ref.eq),4.8,V ugm-3 (FIDAS),3.844,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2020-01-09,01:00:00,No data,,2.2,V ugm-3 (TEOM FDMS),5.5,V ugm-3 (TEOM FDMS),3.7,V ugm-3 (TEOM FDMS),,,0.6,V ugm-3 (TEOM FDMS),1.42,V ugm-3 (FIDAS),1.029,V ugm-3 (Ref.eq),,,1.525,V ugm-3 (FIDAS),1.203,V ugm-3 (Ref.eq),0.242205,V mgm-3,4.5,V ugm-3 (TEOM FDMS),2.1,V ugm-3 (TEOM FDMS),0.104995,V mgm-3,1.95,V ugm-3 (FIDAS),1.604,V ugm-3 (Ref.eq),1.425,V ugm-3 (FIDAS),0.778,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
2020-01-09,02:00:00,No data,,2.4,V ugm-3 (TEOM FDMS),4.9,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),,,1.7,V ugm-3 (TEOM FDMS),0.989,V ugm-3 (FIDAS),0.654,V ugm-3 (Ref.eq),,,1.775,V ugm-3 (FIDAS),1.392,V ugm-3 (Ref.eq),0.163954,V mgm-3,3.2,V ugm-3 (TEOM FDMS),0.5,V ugm-3 (TEOM FDMS),0.08944,V mgm-3,1.675,V ugm-3 (FIDAS),1.038,V ugm-3 (Ref.eq),1.15,V ugm-3 (FIDAS),0.778,V ugm-3 (Ref.eq),3,V ugm-3 (BAM)
2020-01-09,03:00:00,No data,,4,V ugm-3 (TEOM FDMS),2.3,V ugm-3 (TEOM FDMS),0.7,V ugm-3 (TEOM FDMS),,,1.7,V ugm-3 (TEOM FDMS),1.464,V ugm-3 (FIDAS),0.674,V ugm-3 (Ref.eq),,,1.475,V ugm-3 (FIDAS),1.014,V ugm-3 (Ref.eq),0.108992,V mgm-3,3.1,V ugm-3 (TEOM FDMS),1.5,V ugm-3 (TEOM FDMS),0.096246,V mgm-3,1.45,V ugm-3 (FIDAS),0.778,V ugm-3 (Ref.eq),1.55,V ugm-3 (FIDAS),0.708,V ugm-3 (Ref.eq),2,V ugm-3 (BAM)
